step,accuracy,correct,total,checkpoint
0,0.585,585,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-0
100,0.5,500,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-100
200,0.478,478,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-200
300,0.465,465,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-300
400,0.463,463,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-400
500,0.536,536,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-500
600,0.514,514,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-600
700,0.547,547,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-700
800,0.535,535,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-800
900,0.497,497,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-900
1000,0.576,576,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-1000
1200,0.486,486,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-1200
1400,0.56,560,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-1400
1500,0.556,556,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-1500
1600,0.555,555,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-1600
1800,0.525,525,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-1800
2000,0.554,554,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-2000
2200,0.51,510,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-2200
2400,0.586,586,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-2400
2500,0.57,570,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-2500
2600,0.55,550,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-2600
2800,0.537,537,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-2800
3000,0.573,573,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-3000
3200,0.585,585,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-3200
3400,0.553,553,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-3400
3500,0.614,614,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-3500
3600,0.602,602,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-3600
3800,0.55,550,1000,checkpoints/rule_none_with_invalid/rule_none_with_invalid/checkpoint-3800
